E0E0E0E0E0 S2= 0.0 Sz= 0.0 P=0
E0+E0E0E0E1- S2= 0.0 Sz= 0.0 P=0:1
E0+E0E0E0E1- S2= 0.0 Sz= 0.0 P=0:2
E0+E0E0E1-E0 S2= 0.0 Sz= 0.0 P=0:1
E0+E0E0E1-E0 S2= 0.0 Sz= 0.0 P=0:2
E0+E0E1-E0E0 S2= 0.0 Sz= 0.0 P=0:1
E0+E0E1-E0E0 S2= 0.0 Sz= 0.0 P=0:2
E0+E1-E0E0E0 S2= 0.0 Sz= 0.0 P=0:1
E0+E1-E0E0E0 S2= 0.0 Sz= 0.0 P=0:2
E1E0E0E0E0 S2= 0.0 Sz= 0.0 P=0:1
E1E0E0E0E0 S2= 0.0 Sz= 0.0 P=0:2
E0+E0E0E0E1- S2= 0.0 Sz= 0.0 P=0:3
E0+E0E0E0E1- S2= 0.0 Sz= 0.0 P=0:4
E0+E0E0E1-E0 S2= 0.0 Sz= 0.0 P=0:3
E0+E0E0E1-E0 S2= 0.0 Sz= 0.0 P=0:4
E0+E0E1-E0E0 S2= 0.0 Sz= 0.0 P=0:3
E0+E0E1-E0E0 S2= 0.0 Sz= 0.0 P=0:4
E0+E1-E0E0E0 S2= 0.0 Sz= 0.0 P=0:3
E0+E1-E0E0E0 S2= 0.0 Sz= 0.0 P=0:4
E1E0E0E0E0 S2= 0.0 Sz= 0.0 P=0:3
E1E0E0E0E0 S2= 0.0 Sz= 0.0 P=0:4
E0E0+E0E0E1- S2= 0.0 Sz= 0.0 P=0:1
E0E0+E0E0E1- S2= 0.0 Sz= 0.0 P=0:2
E0E0+E0E1-E0 S2= 0.0 Sz= 0.0 P=0:1
E0E0+E0E1-E0 S2= 0.0 Sz= 0.0 P=0:2
E0E0+E1-E0E0 S2= 0.0 Sz= 0.0 P=0:1
E0E0+E1-E0E0 S2= 0.0 Sz= 0.0 P=0:2
E0E1E0E0E0 S2= 0.0 Sz= 0.0 P=0:1
E0E1E0E0E0 S2= 0.0 Sz= 0.0 P=0:2
E0E0+E0E0E1- S2= 0.0 Sz= 0.0 P=0:3
